SDSS_NAME,PLATE,MJD,FIBERID,RA,DEC,Z_DR16Q,SN_MEDIAN_ALL,LOGMBH,LOGMBH_ERR,LOGLEDD_RATIO,LOGLEDD_RATIO_ERR,OIII5007,OIII5007_ERR,LOGLBOL,LOGLBOL_ERR,HBETA_BR,HBETA_BR_ERR,HALPHA_BR,HALPHA_BR_ERR,rms_g
153552.11+402657.1,1679,53149,11,233.967149,40.449197,0.441711,15.638296127319336,7.957931750052066,0.1335080482153413,-0.4283218922293272,0.1335455379776358,"(5007.863038281508, 5006.969302621375, 131.85115767465084, 41.97394991731998, 654.1411119558834, 9.729413704943292)","(0.6442776507315102, 0.4553509385104917, 9.818195225638789, 0.0306586702104034, 85.06572348164468, 0.7301316176159753)",45.643553210129575,0.0031641389770804,"(4862.664696379404, 4861.894519844169, 564.687709090597, 42.60567430504756, 2263.238483633125, 35.197943799718765)","(1.4164475905467953, 0.844140810060253, 68.30611158983089, 0.0505849204810715, 347.8507664665358, 4.270935446773553)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.0991931336589441
153559.96+165722.9,2795,54563,439,233.999872,16.956376,0.4899,10.178577423095703,7.904683581796822,0.10420056695607,-0.6073399037623091,0.1044524462788421,"(5011.369297636464, 5007.481890192908, 85.47542514500758, 41.893066120240654, 757.3778057037458, 14.010449908719414)","(1.8023220144896184, 0.536760071901881, 5.752510877913302, 0.0282066564874838, 83.44529215910057, 1.0647152206659056)",45.41128703034135,0.0072495089259874,"(4860.471485382624, 4860.496147789814, 402.9712066316689, 42.56649886638522, 2433.171831118085, 57.00661477225407)","(0.7321239724769839, 0.3222484649486432, 16.164292626662018, 0.0174244416695472, 291.7196128745759, 2.2132024219394677)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.0
153629.61+263240.7,3952,55330,430,234.12339006108897,26.544641542270945,0.492,10.523849487304688,8.73442923491341,0.1363117417948001,-1.5966866933862534,0.1364039133215319,"(5010.894969670685, 5010.680340632924, 32.63733087596026, 41.47939139504481, 455.8847563254813, 7.7900050578798625)","(0.3298122635815161, 0.2790651902937497, 7.508648248580636, 0.093854474206104, 40.74198530953572, 1.7999205899091475)",45.25168589383399,0.0050136432158396,"(4868.594446514109, 4850.939004193968, 252.0756134125116, 42.367207593382105, 6933.394165482434, 54.36454454528952)","(8.15085223142296, 3.128400133746254, 25.43867784903036, 0.0419320229890196, 1087.906065711254, 5.438551381478252)","(6568.588851282907, 6568.081117822196, 737.9416119989257, 42.83369876127748, 7196.805138317239, 227.39685883900097)","(6.553565333516872, 3.331023794327848, 33.66019974758808, 0.0185769541257769, 551.8305021880078, 10.138141807377266)",0.0
153706.15+270817.6,1848,54180,35,234.275661,27.138236,0.4275,10.771740913391112,7.768956143202232,0.0336537326166881,-0.5116025968436091,0.0346571910079359,"(5010.525182189718, 5009.969454465668, 164.58290270530443, 42.03651274874776, 284.80004048554656, 21.262128681142556)","(0.3790429232840324, 0.1003779925054004, 6.810088566755454, 0.0180038062705847, 20.776568343044232, 0.8799443389445418)",45.371296898665456,0.008279321803446,"(4864.635141380208, 4863.570861660994, 630.2785838268244, 42.61966058168206, 2129.6419529121526, 70.76351459371882)","(0.6795074628562361, 0.3872808319424621, 193.21002806324844, 0.1065305782061152, 81.88696886304274, 20.625805386869025)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.1564133443716379
153714.41+454347.7,1332,52781,110,234.310073,45.729919,0.469384,10.14786148071289,9.389903294755412,0.0846215449516613,-1.885191008432628,0.0855617025818721,"(5007.622424817588, 5007.488157746447, 71.27333568977082, 41.76969990255816, 414.0999406040796, 6.554500922199921)","(0.3696461877730144, 0.2176119962487064, 20.584639911329617, 0.1080514894821682, 49.32843833472299, 1.731530978327362)",45.61865563862962,0.0126490742231482,"(4835.243906813915, 4851.989325624662, 721.4087673722127, 42.77495423375904, 11938.24491838439, 62.676549749408686)","(12.936942095621362, 5.877593193171833, 65.16654832591462, 0.0414276689900248, 1159.82043795962, 5.760359902675951)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.0
153714.49+230040.5,2165,53917,253,234.310411,23.011258,0.462524,12.535150527954102,8.429192546290945,0.0228525458488127,-0.9612296711457518,0.0231446422103671,"(5007.095601905662, 5007.49925894862, 435.8065948404734, 42.54079960307624, 385.4218001661433, 42.09399329280087)","(0.4167083749780431, 0.0615680536789113, 11.434216266315415, 0.0113254626284202, 5.344141476538624, 1.1039807248362727)",45.58190622745203,0.0036654619454878,"(4862.884367768286, 4862.633311542739, 1232.0080041285062, 42.99211933452647, 4034.3396908562095, 110.23888435135544)","(1.3748732489766553, 0.8289407933111761, 49.43750315751299, 0.0175490458163274, 105.80144526919594, 4.387630906940458)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.3037725279852907
153748.43+015840.3,2955,54562,438,234.451816,1.977866,0.4525,19.039400100708008,8.164179235096451,0.0402819369503631,-0.5120507275501751,0.0403841329812578,"(5010.311957652564, 5007.759389334073, 158.53592169495684, 42.07894278123989, 701.5795730089525, 9.475469372340449)","(0.9614917700619116, 0.4433492527296039, 12.492189676641644, 0.0331510821976799, 60.08198848394648, 0.745578083182961)",45.76607185985311,0.0028711935105256,"(4863.465844671926, 4862.972614232243, 1544.255245021723, 43.0675341844598, 2674.3879036229314, 80.34337130877078)","(0.5852127919815757, 0.2913847543877637, 106.40336914868476, 0.0312460241644423, 123.94940878985858, 5.166021030099316)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.1042045458655959
153818.57+410548.3,1679,53149,40,234.57741,41.09676,0.480789,15.718199729919434,8.605860238615822,0.0354364622957656,-1.0833714840275943,0.0358819804261987,"(5007.884982868208, 5007.524904146871, 363.4559587631357, 42.50215372998616, 457.0375045798852, 33.66088111241697)","(0.3550925986901347, 0.0619359938827983, 11.426418246136194, 0.0133584169542828, 25.194637378109604, 1.0587013754037535)",45.63643210689506,0.005636812864278,"(4865.821644618243, 4873.415971506767, 1392.3710548816534, 43.08545692302653, 4791.53692451242, 118.6815820345333)","(1.2297397863208062, 0.866482077100045, 34.18482330054712, 0.0108137412907787, 194.8645892510226, 2.853860992026497)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.1126089534896567
153831.94+303939.8,1389,53135,463,234.633093,30.661061,0.444402,12.102953910827637,8.318862904236768,0.0522839671864356,-0.9738420018077818,0.0525936339002013,"(5007.880925532422, 5007.470787250875, 122.10896781661428, 41.94688877920442, 441.86191401753626, 14.19001296718628)","(0.3524975992440886, 0.152718929142793, 10.736888292718554, 0.0353456672913488, 25.115214869512076, 1.244536570194506)",45.45896425473582,0.0056988684908603,"(4861.23928547508, 4856.3510249440415, 943.7986916304478, 42.83502058997833, 3813.670216262593, 94.65262195500016)","(1.5809295431058672, 0.7895113728095566, 130.9635958632163, 0.0708275167646341, 229.21943580973425, 12.873292767210394)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.1330923878908141
153850.81+132523.1,2517,54567,313,234.711745,13.423088,0.4015,16.393280029296875,8.436403532749912,0.0272412148098673,-1.0075115895951257,0.0275570621420743,"(5008.92277404761, 5009.495018912252, 1174.1914154985038, 42.82536406558064, 336.15130834903454, 88.2316744832747)","(0.3131797379273848, 0.0125164094224601, 39.68824025067147, 0.0141410791839646, 3.544250854715443, 2.979207728936906)",45.54283529546162,0.0041602751813805,"(4856.9011665596, 4855.070998384299, 1225.209144459942, 42.84383539419295, 4160.501559934521, 85.96404841448717)","(1.552052447920687, 0.7152139774093484, 250.78451450340287, 0.1118575045087908, 130.10320531889215, 17.637907168046226)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.2935866521577043
